  ID  |              Name              |  Lvl |     XP     |    Gold    |
 1487 |            OrcaZard            |  40  |    136     |     45     |
 1488 |            Drakath             |  90  |    5560    |    5560    |
 1489 |            Drakath             |  70  |    1137    |    1142    |
 1490 |            Drakath             |  50  |    270     |    276     |
 1491 |            Drakath             |  30  |     94     |     91     |
 1492 |            Drakath             |  10  |     54     |     48     |
 1493 |            Drakath             | 110  |   29430    |   29430    |
 1494 |          Giant Leech           |  32  |     39     |     34     |
 1495 |          Giant Leech           |  72  |    751     |    372     |
 1496 |          Death Knight          |  24  |     69     |     11     |
 1497 |          Undead Gnat           |  11  |     51     |     6      |
 1498 |          Undead Gnat           |  45  |    210     |     24     |
 1499 |          Undead Gnat           |  75  |    1767    |    196     |
 1500 |             Sectid             |  11  |     17     |     18     |
 1501 |             Sectid             |  34  |     44     |     37     |
 1502 |             Sectid             |  68  |    546     |    277     |
 1503 |             Nepto              |  60  |    673     |    336     |
 1504 |              Rakk              | 102  |   11710    |    3116    |
 1505 |             Huggy              |  15  |     46     |     41     |
 1506 |             Huggy              |  60  |    732     |    316     |
 1507 |            Autozard            |  5   |     13     |     17     |
 1508 |            Autozard            |  40  |     79     |     44     |
 1509 |          DecepDragon           |  5   |     13     |     17     |
 1510 |          DecepDragon           |  40  |     73     |     46     |
 1511 |          Cursed Gnat           |  40  |     76     |     45     |
 1512 |             Ninja              |  25  |     22     |     28     |
 1513 |            Jerroto             |  10  |     40     |     10     |
 1514 |            Jerroto             |  60  |    300     |    155     |
 1515 |           Evil Tiki            |  10  |     34     |     12     |
 1516 |           Evil Tiki            |  60  |    384     |    127     |
 1517 |             Cloke              |  10  |     43     |     9      |
 1518 |             Cloke              |  60  |    459     |    102     |
 1519 |             Tytoa              |  13  |     32     |     14     |
 1520 |             Tytoa              |  58  |    298     |    122     |
 1521 |             Pirate             |  60  |    327     |    146     |
 1522 |           MetalFace            |  20  |     37     |     52     |
 1523 |           MetalFace            |  40  |    140     |    107     |
 1524 |           MetalFace            |  60  |    673     |    336     |
 1525 |           MetalFace            |  80  |    3726    |    1315    |
 1526 |           MetalFace            | 100  |   20630    |    6188    |
 1527 |           MetalFace            | 120  |   126800   |   28870    |
 1528 |            Kor-Dem             |  60  |    372     |    131     |
 1529 |            Vor-Dem             |  60  |    384     |    127     |
 1530 |            Big Gray            |  60  |    384     |    127     |
 1531 |           Lavistria            |  60  |    503     |    235     |
 1532 |          Elven Archer          |  60  |    324     |    147     |
 1533 |            Brontus             |  60  |    441     |    256     |
 1534 |            Fansarin            |  60  |    489     |    240     |
 1535 |             Pirate             |  50  |     95     |     97     |
 1536 |        Drakel Sentinel         |  60  |    342     |    141     |
 1537 |             Ninja              |  60  |    324     |    147     |
 1538 |             Ninja              |  60  |    324     |    147     |
 1539 |           Archdemon            |  85  |    2598    |    868     |
 1540 |             Pirate             |  10  |     22     |     16     |
 1541 |             Pirate             |  10  |     19     |     17     |
 1542 |            Ratliver            |  12  |     16     |     19     |
 1543 |           Anchorhand           |  12  |     22     |     17     |
 1544 |          Undead Ninja          |  10  |     16     |     18     |
 1545 |           NinjaZard            |  8   |     13     |     18     |
 1546 |             Ninja              |  10  |     16     |     18     |
 1547 |             Ninja              |  10  |     13     |     19     |
 1548 |            CurZard             |  60  |    354     |    137     |
 1549 |        Captain Rhubarb         |  60  |    659     |    340     |
 1550 |           Blackhawke           |  60  |    844     |    279     |
 1551 |            CurZard             |  80  |    1778    |    570     |
 1552 |           Archdemon            |  70  |    801     |    267     |
 1553 |            Stragath            |  90  |    3289    |    1505    |
 1554 |        Stragath's Head         | 120  |   103700   |   36590    |
 1555 |            Sheepyre            |  60  |    306     |    153     |
 1556 |     Vampire Fighter's Gold     |  75  |    222     |    2699    |
 1557 |            Eselgee             |  34  |     47     |     36     |
 1558 |            ScarZard            |  42  |    105     |     44     |
 1559 |        Badger Berserker        |  60  |    348     |    139     |
 1560 |        Badger Chieftain        |  79  |    1357    |    622     |
 1561 |         Circle of Doom         | 105  |   95690    |     0      |
 1562 |          Bishop Finch          |  80  |    1892    |    532     |
 1563 |          Bishop Finch          |  40  |     67     |     48     |
 1564 |           Lavistria            |  30  |     66     |     45     |
 1565 |           Lavistria            |  10  |     34     |     25     |
 1566 |          Elven Archer          |  30  |     33     |     32     |
 1567 |          Elven Archer          |  10  |     16     |     18     |
 1568 |            Brontus             |  30  |     56     |     49     |
 1569 |            Brontus             |  10  |     34     |     25     |
 1570 |            Fansarin            |  35  |     68     |     63     |
 1571 |            Fansarin            |  15  |     33     |     30     |
 1572 |          Thunder Cat           |  45  |    181     |     60     |
 1573 |          Thunder Cat           |  60  |    494     |    163     |
 1574 |          Thunder Hoof          |  70  |    2300    |    1120    |
 1575 |        Valhallan Steed         |  85  |    8543    |    3278    |
 1576 |        Asgardian Steed         | 100  |   29450    |   11170    |
 1577 |          Thunder Hoof          |  40  |    247     |    166     |
 1578 |          Thunder Cat           |  11  |     45     |     15     |
 1579 |             Umazen             |  32  |     48     |     31     |
 1580 |          MechaZombie           |  34  |     38     |     39     |
 1581 |          Umazen Queen          |  35  |     63     |     64     |
 1582 |             Zhilo              |  39  |    109     |    109     |
 1583 |          Doc Sawbones          |  60  |    309     |    152     |
 1584 |          Undead Mage           |  5   |     31     |     11     |
 1585 |        Undead Fansarin         |  60  |    489     |    240     |
 1586 |        Undead Fansarin         |  35  |     68     |     63     |
 1587 |        Undead Fansarin         |  15  |     33     |     30     |
 1588 |        Undead Fansarin         |  92  |    8277    |    2091    |
 1589 |          Doc Sawbones          |  20  |     23     |     22     |
 1590 |          Doc Sawbones          | 110  |   19520    |    7263    |
 1591 |         Baby Dracolich         |  10  |     41     |     37     |
 1592 |         Nurse Botoxia          |  10  |     16     |     18     |
 1593 |         Nurse Botoxia          |  25  |     25     |     27     |
 1594 |         Nurse Botoxia          |  50  |    128     |     86     |
 1595 |         Nurse Botoxia          |  70  |    630     |    324     |
 1596 |         Nurse Botoxia          |  90  |    3838    |    1322    |
 1597 |           Undead Elf           |  10  |     43     |     15     |
 1598 |           Undead Elf           |  30  |     81     |     28     |
 1599 |           Undead Elf           |  60  |    490     |    164     |
 1600 |       Baby Water Dragon        |  12  |     41     |     39     |
 1601 |        Baby Wind Dragon        |  14  |     48     |     39     |
 1602 |       Baby Earth Dragon        |  16  |     50     |     41     |
 1603 |       Baby Light Dragon        |  18  |     52     |     43     |
 1604 |        Baby Ice Dragon         |  20  |     57     |     46     |
 1605 |       Baby Energy Dragon       |  22  |     57     |     50     |
 1606 |        Baby Fire Dragon        |  24  |     59     |     54     |
 1607 |      Baby Darkness Dragon      |  26  |     70     |     57     |
 1608 |        Baby Void Dragon        |  28  |     70     |     63     |
 1609 |        Baby WereDragon         |  11  |     43     |     37     |
 1610 |       Undead ArMegoggon        | 140  |  1843000   |   235000   |
 1611 |            Groggle             |  10  |     16     |     24     |
 1612 |            Groggle             |  25  |     36     |     33     |
 1613 |            Groggle             |  50  |    184     |    104     |
 1614 |            Groggle             |  75  |    1263    |    589     |
 1615 |            Groggle             |  85  |    3151    |    1181    |
 1616 |          Baby Groggle          |  5   |     9      |     12     |
 1617 |          Baby Groggle          |  15  |     12     |     14     |
 1618 |          Baby Groggle          |  35  |     37     |     26     |
 1619 |          Baby Groggle          |  60  |    220     |    110     |
 1620 |          Baby Groggle          |  70  |    462     |    230     |
 1621 |        The Black Rider         |  20  |     43     |     50     |
 1622 |        The Black Rider         |  40  |    120     |    114     |
 1623 |        The Black Rider         |  60  |    514     |    389     |
 1624 |        The Black Rider         |  80  |    3066    |    1535    |
 1625 |        The Black Rider         | 100  |   13540    |    8551    |
 1626 |        The Black Rider         | 120  |   100400   |   37670    |
 1627 |        Protus Symbiote         |  15  |     42     |     19     |
 1628 |        Protus Symbiote         |  30  |     65     |     33     |
 1629 |        Protus Symbiote         |  50  |    211     |     95     |
 1630 |        Protus Symbiote         |  75  |    1313    |    572     |
 1631 |        Protus Symbiote         | 100  |   12180    |    3586    |
 1632 |            Protean             |  5   |     40     |     8      |
 1633 |            Protean             |  20  |     41     |     16     |
 1634 |            Protean             |  40  |    124     |     29     |
 1635 |            Protean             |  60  |    306     |    153     |
 1636 |            Protean             |  80  |    1685    |    601     |
 1637 |             Selkie             |  7   |     27     |     13     |
 1638 |             Selkie             |  27  |     45     |     23     |
 1639 |             Selkie             |  47  |    127     |     64     |
 1640 |             Selkie             |  67  |    512     |    255     |
 1641 |             Selkie             |  87  |    2446    |    1223    |
 1642 |            TestZard            | 500  |     0      |     0      |
 1643 |        St. Elmo's Fire         |  5   |     25     |     13     |
 1644 |        St. Elmo's Fire         |  15  |     30     |     16     |
 1645 |        St. Elmo's Fire         |  35  |     64     |     33     |
 1646 |        St. Elmo's Fire         |  55  |    215     |    108     |
 1647 |        St. Elmo's Fire         |  75  |    942     |    471     |
 1648 |         Arrr-Me-Grogg          |  92  |   10640    |    3192    |
 1649 |      Rare Treasure Chest       |  4   |     0      |     0      |
 1650 |           Uncle Sham           |  80  |    3284    |    1462    |
 1651 |        Werewolf Warrior        |  17  |     40     |     14     |
 1652 |         Beta Werebeast         |  20  |     96     |     32     |
 1653 |      Master of the House       |  22  |     26     |     23     |
 1654 |          Darkshifter           |  25  |     52     |     18     |
 1655 |       Young Light Dragon       |  30  |     36     |     31     |
 1656 |            Ailinora            |  32  |    151     |     52     |
 1657 |   Spectrum Cannon Prototype    |  39  |     74     |     42     |
 1658 |             Glorg              |  16  |     20     |     20     |
 1659 |           Orc Archer           |  10  |     19     |     17     |
 1660 |            Orc Mage            |  12  |     19     |     18     |
 1661 |           MotherZard           |  25  |    140     |     30     |
 1662 |           NightZard            |  18  |     51     |     11     |
 1663 |            ToadZard            |  18  |     51     |     11     |
 1664 |            BlizZard            |  20  |     53     |     12     |
 1665 |           StormZard            |  22  |     56     |     13     |
 1666 |          Forest Demon          |  26  |     41     |     23     |
 1667 |          Darkshifter           |  25  |     52     |     18     |
 1668 |          Fireshifter           |  25  |     52     |     18     |
 1669 |       Drakelon Prototype       |  34  |     47     |     36     |
 1670 |       Drakel Power Armor       |  36  |     84     |     29     |
 1671 |           The Seeker           |  10  |     67     |     60     |
 1672 |      Vartai Blade Master       |  9   |     39     |     14     |
 1673 |      Vartai Blade Master       |  40  |    136     |     45     |
 1674 |      Vartai Blade Master       |  60  |    490     |    164     |
 1675 |      Vartai Blade Master       |  80  |    2246    |    748     |
 1676 |         Vartai Hunter          |  5   |     39     |     14     |
 1677 |         Vartai Hunter          |  40  |    136     |     45     |
 1678 |         Vartai Hunter          |  60  |    490     |    164     |
 1679 |         Vartai Hunter          |  80  |    2246    |    748     |
 1680 |          Dragon King           |  60  |    673     |    336     |
 1681 |         Drag-O-Lantern         |  60  |    318     |    149     |
 1682 |          Jack-O-Zard           |  60  |    312     |    151     |
 1683 |           Were-Gourd           |  60  |    306     |    153     |
 1684 |           Were-Gourd           |  10  |     19     |     17     |
 1685 |          Jack-O-Zard           |  8   |     16     |     17     |
 1686 |         Drag-O-Lantern         |  12  |     19     |     18     |
 1687 |          Dragon King           |  20  |     20     |     23     |
 1688 |          Dragon King           | 110  |   22240    |    6358    |
 1689 |           DebilZard            |  55  |    230     |    103     |
 1690 |           Sea Squirt           |  20  |     56     |     11     |
 1691 |          Stone Golem           |  30  |    117     |     4      |
 1692 |            Two-Bear            |  40  |     31     |     60     |
 1693 |         Raydius Dragon         |  50  |     95     |     97     |
 1694 |    Calladus, Dragon Master     |  80  |    2947    |    1575    |
 1695 |              Gogg              | 107  |   12820    |    6411    |
 1696 |              Lich              |  75  |    627     |    576     |
 1697 |              Rast              |  60  |    315     |    150     |
 1698 |             Skorp              |  60  |    285     |    160     |
 1699 |           DarkGuard            |  70  |    642     |    329     |
 1700 |      Huge Treasure Hoard       |  90  |    388     |    2472    |
 1701 |           DebilZard            |  15  |     24     |     18     |
 1702 |           DebilZard            |  95  |    5738    |    2009    |
 1703 |         Velocigobbler          |  10  |     4      |     9      |
 1704 |         Velocigobbler          |  25  |     5      |     13     |
 1705 |         Velocigobbler          |  45  |     16     |     36     |
 1706 |         Velocigobbler          |  65  |     63     |    144     |
 1707 |         Velocigobbler          |  80  |    198     |    457     |
 1708 |         Velocigobbler          | 100  |    1002    |    2338    |
 1709 |             Snout              |  75  |    1413    |    314     |
 1710 |      Pretty Purple Flower      |  55  |    323     |     72     |
 1711 |            Horseman            |  75  |    1293    |    1295    |
 1712 |         Banana Slamma          |  35  |     97     |     22     |
 1713 |              Hayu              |  15  |     60     |     6      |
 1714 |         Banana Slamma          |  30  |     78     |     17     |
 1715 |      Pretty Purple Flower      |  35  |     97     |     22     |
 1716 |             Snout              |  70  |    960     |    214     |
 1717 |            Horseman            |  55  |    294     |    296     |
 1718 |      Drakel Militia Group      |  94  |    7471    |    1121    |
 1719 |              Gogg              |  47  |    127     |     64     |
 1720 |       Ravenous Were-Hare       |  80  |    2093    |    465     |
 1721 |              Hayu              |  35  |    121     |     14     |
 1722 |         Banana Slamma          |  50  |    233     |     51     |
 1723 |      Pretty Purple Flower      |  75  |    1413    |    314     |
 1724 |             Snout              |  90  |    4681    |    1041    |
 1725 |            Horseman            |  95  |    6472    |    6470    |
 1726 |        Nightmare Queen         | 120  |   187600   |   51730    |
 1727 |         Dirty Snowman          |  10  |     87     |     7      |
 1728 |         Dirty Snowman          |  25  |    129     |     12     |
 1729 |         Dirty Snowman          |  45  |    341     |     34     |
 1730 |         Dirty Snowman          |  65  |    1337    |    134     |
 1731 |         Dirty Snowman          |  85  |    6336    |    633     |
 1732 |         Dirty Snowman          | 105  |   32990    |    3298    |
 1733 |         Nightmare Pawn         |  5   |     9      |     6      |
 1734 |         Nightmare Rook         |  10  |     22     |     16     |
 1735 |        Nightmare Bishop        |  15  |     27     |     17     |
 1736 |         Nightmare Pawn         |  25  |     16     |     10     |
 1737 |         Nightmare Rook         |  30  |     42     |     29     |
 1738 |        Nightmare Bishop        |  45  |     93     |     63     |
 1739 |         Nightmare Pawn         |  55  |     80     |     54     |
 1740 |         Nightmare Rook         |  70  |    534     |    356     |
 1741 |        Nightmare Bishop        |  75  |    786     |    523     |
 1742 |         Nightmare Pawn         |  85  |    780     |    520     |
 1743 |         Nightmare Rook         |  90  |    2602    |    1734    |
 1744 |         Nightmare King         |  5   |     25     |     25     |
 1745 |         Nightmare King         |  45  |    109     |    112     |
 1746 |         Nightmare King         |  75  |    930     |    932     |
 1747 |         Nightmare King         | 100  |    7050    |    7052    |
 1748 |      RedNose ReignDragon       | 120  |   79600    |   24670    |
 1749 |        Nightmare Queen         |  60  |    1282    |    473     |
 1750 |         Khandie Khain          |  10  |     67     |     60     |
 1751 |         Khandie Khain          |  30  |    116     |    113     |
 1752 |         Khandie Khain          |  50  |    335     |    342     |
 1753 |         Khandie Khain          |  70  |    1409    |    1416    |
 1754 |         Khandie Khain          |  90  |    6893    |    6893    |
 1755 |         Khandie Khain          | 110  |   36490    |   36490    |
 1756 |        Nightmare Knight        |  25  |     37     |     23     |
 1757 |        Nightmare Knight        |  55  |    179     |    120     |
 1758 |        Nightmare Knight        |  85  |    1734    |    1156    |
 1759 |         Undead Xyphos          | 170  |     0      |     0      |
 1760 |            WolfWing            |  60  |    1049    |    211     |
 1761 |            WolfWing            |  25  |     94     |     46     |
 1762 |            WolfWing            |  80  |    4670    |    1000    |
 1763 |             Skorp              |  5   |     10     |     18     |
 1764 |              Rast              |  10  |     16     |     18     |
 1765 |              Rast              |  20  |     20     |     23     |
 1766 |             Skorp              |  10  |     10     |     20     |
 1767 |             Skorp              |  30  |     36     |     31     |
 1768 |              Rast              |  40  |     73     |     46     |
 1769 |           Gloobulus            |  15  |     39     |     43     |
 1770 |           Gloobulus            |  40  |    153     |    103     |
 1771 |           Gloobulus            |  70  |    1432    |    697     |
 1772 |           Gloobulus            |  90  |    8938    |    2743    |
 1773 |           Gloobulus            | 110  |   49130    |   13920    |
 1774 |     Neberon - Mage Trainer     |  15  |     0      |     0      |
 1775 |   Grimweld - Warrior Trainer   |  15  |     0      |     0      |
 1776 |     Sir Lanceler - Trainer     |  5   |     0      |     0      |
 1777 |  Sir Pwnsalot - The Untrainer  |  50  |     0      |     0      |
 1778 |        Vamp Handmaiden         | 105  |   54680    |   13670    |
 1779 |     Dracovamp Handmaiden       | 116  |   139000   |   34760    |
 1780 |             Gravis             |  20  |     91     |     74     |
 1781 |             Gravis             |  40  |    257     |    162     |
 1782 |             Gravis             |  60  |    1081    |    540     |
 1783 |             Gravis             |  80  |    5794    |    2176    |
 1784 |             Gravis             | 100  |   27790    |   11720    |
 1785 |        Baby Sand Dragon        |  28  |     70     |     63     |
 1786 |       Young Sand Dragon        |  45  |    217     |    134     |
 1787 |          Sand Dragon           |  63  |    743     |    448     |
 1788 |    Fulguris the Sand Dragon    |  79  |    2318    |    1590    |
 1789 |     Isako the Sand Dragon      |  96  |   10250    |    5953    |
 1790 |         Cyclone Wyvern         |  5   |     49     |     17     |
 1791 |         Typhoon Wyvern         |  5   |     49     |     17     |
 1792 |         Typhoon Wyvern         |  25  |     82     |     28     |
 1793 |         Cyclone Wyvern         |  20  |     69     |     23     |
 1794 |         Cyclone Wyvern         |  35  |    129     |     42     |
 1795 |         Typhoon Wyvern         |  45  |    223     |     74     |
 1796 |         Typhoon Wyvern         |  68  |    867     |    291     |
 1797 |         Cyclone Wyvern         |  65  |    867     |    291     |
 1798 |         Cyclone Wyvern         |  85  |    4118    |    1372    |
 1799 |         Typhoon Wyvern         |  85  |    4118    |    1372    |
 1800 |        Sally and Suzy!         |  20  |     23     |     22     |
 1801 |        Sally and Suzy!         |  40  |     70     |     47     |
 1802 |        Sally and Suzy!         |  80  |    1745    |    581     |
 1803 |       Sindy and Shelly!        |  20  |     23     |     22     |
 1804 |       Sindy and Shelly!        |  40  |     73     |     46     |
 1805 |       Sindy and Shelly!        |  80  |    1745    |    581     |
 1806 |        Stacy and Sandy!        |  20  |     23     |     22     |
 1807 |        Stacy and Sandy!        |  40  |     73     |     46     |
 1808 |        Stacy and Sandy!        |  80  |    1745    |    581     |
 1809 |             Eldron             |  50  |    367     |    332     |
 1810 |             Eldron             |  90  |   11030    |    5515    |
 1811 |          Uncle Wyvern          | 124  |   316400   |   105500   |
 1812 |           Wood Golem           |  12  |     55     |     6      |
 1813 |           Wood Golem           |  24  |     78     |     8      |
 1814 |           Wood Golem           |  48  |    256     |     28     |
 1815 |           Wood Golem           |  72  |    1399    |    156     |
 1816 |           Wood Golem           |  96  |    9584    |    1065    |
 1817 |          Billy Magroo          |  5   |     40     |     8      |
 1818 |          Billy Magroo          |  15  |     48     |     10     |
 1819 |          Billy Magroo          |  25  |     67     |     13     |
 1820 |          Billy Magroo          |  35  |    103     |     20     |
 1821 |          Billy Magroo          |  45  |    177     |     35     |
 1822 |          Billy Magroo          |  55  |    338     |     67     |
 1823 |          Billy Magroo          |  65  |    686     |    138     |
 1824 |          Billy Magroo          |  75  |    1473    |    294     |
 1825 |          Billy Magroo          |  85  |    3252    |    650     |
 1826 |          Billy Magroo          |  95  |    7352    |    1471    |
 1827 |          Billy Magroo          | 105  |   16930    |    3385    |
 1828 |             Gravis             |  10  |     67     |     60     |
 1829 |        Neritic Dweller         |  6   |    109     |     10     |
 1830 |       Profundal Dweller        |  19  |    145     |     15     |
 1831 |        Aphotic Dweller         |  39  |    327     |     37     |
 1832 |        Abyssal Dweller         |  65  |    1812    |    202     |
 1833 |         Hadal Dweller          |  85  |    8579    |    954     |
 1834 |            Rayfish             | 105  |   50060    |   25030    |
 1835 |           Doom Jelly           |  10  |     40     |     10     |
 1836 |       Double Doom Jelly        |  40  |    121     |     30     |
 1837 |       Doomilicious Jelly       |  60  |    438     |    109     |
 1838 |         Dooooom Jelly          |  80  |    1994    |    498     |
 1839 |             Wabio              |  10  |     41     |     37     |
 1840 |             Wabio              |  25  |     68     |     54     |
 1841 |             Wabio              |  50  |    294     |    184     |
 1842 |             Wabio              |  75  |    2072    |    1036    |
 1843 |             Wabio              | 100  |   18440    |    6916    |
 1844 |            Rosebud             |  4   |     18     |     15     |
 1845 |         Carnation Bud          |  8   |     16     |     17     |
 1846 |          Lavender Bud          |  12  |     16     |     19     |
 1847 |         Lavender Petal         |  22  |     26     |     23     |
 1848 |        Carnation Petal         |  24  |     27     |     25     |
 1849 |           Rosepetal            |  26  |     29     |     27     |
 1850 |        Lavender Blossom        |  40  |     82     |     43     |
 1851 |       Carnation Blossom        |  42  |     90     |     49     |
 1852 |    Carnation-In-Full-Bloom     |  58  |    247     |    139     |
 1853 |     Lavender-In-Full-Bloom     |  60  |    324     |    147     |
 1854 |       Rose-In-Full-Bloom       |  62  |    370     |    171     |
 1855 |          Roseblossom           |  38  |     61     |     43     |
 1856 |           Mud Golem            |  58  |    598     |     22     |
 1857 |             Demios             |  88  |    5402    |    1698    |
 1858 |             Demios             |  68  |    992     |    395     |
 1859 |             Demios             |  48  |    196     |    113     |
 1860 |             Demios             |  28  |     50     |     45     |
 1861 |             Demios             |  12  |     30     |     28     |
 1862 |          Corpse Fiend          |  12  |     81     |     26     |
 1863 |          Grave Fiend           |  24  |    112     |     37     |
 1864 |         Charnel Fiend          |  45  |    310     |    103     |
 1865 |          Crypt Fiend           |  65  |    1212    |    402     |
 1866 |         Catacomb Fiend         |  80  |    3838    |    1278    |
 1867 |        Necropolis Fiend        | 100  |   19600    |    6531    |
 1868 |            Heronos             |  58  |    556     |    301     |
 1869 |       Chester the Dummy        |  8   |     35     |     37     |
 1870 |       Chester the Dummy        |  24  |     52     |     57     |
 1871 |       Chester the Dummy        |  48  |    252     |    164     |
 1872 |       Chester the Dummy        |  72  |    1777    |    776     |
 1873 |       Chester the Dummy        |  96  |   13540    |    4857    |
 1874 |           Elfephant            |  48  |    145     |     65     |
 1875 |       General LepraKhan        |  12  |     28     |     43     |
 1876 |       General LepraKhan        |  24  |     32     |     63     |
 1877 |       General LepraKhan        |  48  |    160     |    195     |
 1878 |       General LepraKhan        |  72  |    1025    |    1027    |
 1879 |       General LepraKhan        |  96  |    8650    |    6487    |
 1880 |           Cyberchaun           |  10  |     7      |     21     |
 1881 |           Cyberchaun           |  25  |     10     |     32     |
 1882 |           Cyberchaun           |  40  |     22     |     63     |
 1883 |           Cyberchaun           |  55  |     56     |    161     |
 1884 |           Cyberchaun           |  70  |    162     |    480     |
 1885 |           Cyberchaun           |  85  |    516     |    1562    |
 1886 |           Lady Akai            |  30  |     36     |     31     |
 1887 |        Temple Guardian         | 100  |     0      |     0      |
 1888 |        Temple Guardian         |  30  |     39     |     30     |
 1889 |          Drakel Ninja          |  50  |    134     |     84     |
 1890 |             Ninja              |  50  |    137     |     83     |
 1891 |            Heronos             |  78  |    2941    |    1203    |
 1892 |            Heronos             |  98  |   18350    |    4945    |
 1893 |             Malzar             |  70  |    720     |    294     |
 1894 |             Malzar             |  80  |    1763    |    575     |
 1895 |          Exodus Titan          |  70  |    1511    |    670     |
 1896 |           ZardZilla            |  75  |    2111    |    1022    |
 1897 |       Drakel Titan Armor       |  80  |    3739    |    1311    |
 1898 |           Evil Tiki            |  25  |     52     |     18     |
 1899 |            Jerroto             |  30  |     63     |     22     |
 1900 |        Grapes of Wrath         |  90  |    3808    |    1332    |
 1901 |         Eggobbler Jr.          |  8   |     20     |     9      |
 1902 |         Eggobbler Jr.          |  18  |     23     |     12     |
 1903 |         Eggobbler Jr.          |  38  |     54     |     27     |
 1904 |         Eggobbler Jr.          |  58  |    191     |     95     |
 1905 |         Eggobbler Jr.          |  78  |    857     |    429     |
 1906 |         Eggobbler Sr.          |  12  |     36     |     19     |
 1907 |         Eggobbler Sr.          |  22  |     48     |     24     |
 1908 |         Eggobbler Sr.          |  42  |    123     |     60     |
 1909 |         Eggobbler Sr.          |  62  |    453     |    227     |
 1910 |         Eggobbler Sr.          |  82  |    2106    |    1053    |
 1911 |             Skkree             |  30  |     63     |     22     |
 1912 |      Commander Auricarius      |  30  |     79     |     68     |
 1913 |       Doom Cola Machine        |  10  |     16     |     18     |
 1914 |       Doom Cola Machine        |  25  |     28     |     26     |
 1915 |       Doom Cola Machine        |  40  |     61     |     50     |
 1916 |       Doom Cola Machine        |  60  |    285     |    160     |
 1917 |       Doom Cola Machine        |  75  |    819     |    512     |
 1918 |       Doom Cola Machine        |  90  |    3223    |    1527    |
 1919 |      Sarkanian Charioteer      |  10  |     34     |     12     |
 1920 |      Sarkanian Charioteer      |  30  |     63     |     22     |
 1921 |           Sarkanian            |  25  |     52     |     18     |
 1922 |           Wood Golem           |  5   |     49     |     5      |
 1923 |       Axiomatic Chipmunk       |  8   |     19     |     16     |
 1924 |            NerfLord            |  10  |     19     |     17     |
 1925 |         Chimeran Rider         |  11  |     60     |     63     |
 1926 |         Chimeran Rider         |  45  |    243     |    250     |
 1927 |         Chimeran Rider         | 120  |   85700    |   85700    |
 1928 |           NerfWraith           |  10  |     19     |     17     |
 1929 |            Gorthor             |  1   |     20     |     19     |
 1930 |            Reuse Me            |  48  |    121     |     73     |
 1931 |            Reuse Me            |  66  |    483     |    234     |
 1932 |            Reuse Me            |  86  |    2624    |    1005    |
 1933 |        Godwin the Goose        |  10  |     19     |     17     |
 1934 |            Reuse Me            |  50  |    173     |     71     |
 1935 |            Reuse Me            |  75  |    1179    |    392     |
 1936 |            NerfLord            |  15  |     21     |     19     |
 1937 |            NerfLord            |  20  |     57     |     46     |
 1938 |            NerfLord            |  40  |    160     |    101     |
 1939 |            NerfLord            |  60  |    673     |    336     |
 1940 |            NerfLord            |  80  |    3607    |    1355    |
 1941 |       Veteran NaxTrooper       |  70  |    642     |    320     |
 1942 |       CarnZard Defender        |  80  |    1643    |    615     |
 1943 |          Carnis Major          |  75  |    942     |    471     |
 1944 |         C-Rex Supreme          |  80  |    1643    |    615     |
 1945 |             Minax              |  82  |    1924    |    722     |
 1946 |            Reuse Me            |  53  |    165     |    102     |
 1947 |          Maelstronax           |  73  |    807     |    403     |
 1948 |            Makkisar            |  80  |    3614    |    1352    |
 1949 |            Makkinax            |  90  |   12980    |    4865    |
 1950 |            Kung Foe            |  60  |    354     |    137     |
 1951 |           Kara Tika            |  60  |    303     |    154     |
 1952 |       Brain Spider Nymph       |  15  |     21     |     19     |
 1953 |       Brain Spider Imago       |  28  |     32     |     29     |
 1954 |      Jumping Brain Spider      |  48  |    124     |     72     |
 1955 |     Tarantula Brain Spider     |  68  |    627     |    250     |
 1956 |    Black Widow Brain Spider    |  88  |    3412    |    1073    |
 1957 |         Drakel Captain         |  15  |     21     |     19     |
 1958 |         Drakel Captain         |  75  |    948     |    469     |
 1959 |         Drakel Captain         |  90  |    3859    |    1315    |
 1960 |      Broadkil Bone-Drone       |  6   |     17     |     16     |
 1961 |       Broadkil Cydaver         |  21  |     26     |     22     |
 1962 |      Broadkil Corpsomaton      |  38  |     58     |     44     |
 1963 |       Broadkil Cadaborg        |  56  |    214     |    121     |
 1964 |     Broadkil Carcassdroid      |  71  |    601     |    376     |
 1965 |         Silari Warrior         |  5   |     25     |     13     |
 1966 |         Silari Warrior         |  25  |     43     |     21     |
 1967 |         Silari Warrior         |  45  |    114     |     56     |
 1968 |         Silari Warrior         |  65  |    440     |    220     |
 1969 |         Silari Warrior         |  75  |    942     |    471     |
 1970 |       Wolf Brain Spider        |  98  |    7802    |    2427    |
 1971 |          Drakel Ninja          |  5   |     13     |     17     |
 1972 |          Drakel Ninja          |  28  |     35     |     28     |
 1973 |      Brilhado Necromancer      |  30  |     46     |     39     |
 1974 |       Broadkil Necrobot        |  87  |    2428    |    1229    |
 1975 |            Cyclops             |  5   |     25     |     13     |
 1976 |            Cyclops             |  32  |     57     |     28     |
 1977 |           ZardMaster           |  75  |    2072    |    1036    |
 1978 |           ZardMaster           | 100  |   15680    |    7838    |
